company_id,company_name,affiliation_id,active
DCSYNPCOM001195,"""Skinaa"" Skin, Hair and Laser Clinic",,Y
DCSYNPCOM001419,32 Pearls Dental Clinic,,Y
DCSYNPCOM001336,32 Smiles Multispeciality Dental Clinic,,Y
DCSYNPCOM001486,3D Dental Implant Clinic,,Y
DCSYNPCOM000435,Aadhya9 Multi-speciality Hospital,,Y
DCSYNPCOM001674,Aaditya Dental Clinic,,Y
DCSYNPCOM001928,Aarjav Dental Clinic,,Y
DCSYNPCOM000510,Aarna Mediclinic,,Y
DCSYNPCOM000564,Aarogya Clinic,,Y
DCSYNPCOM000867,Aarogyam Super Speciality Clinic,,Y
DCSYNPCOM000874,Aarogyam Superspeciality Heart and Dental Clinic,,Y
DCSYNPCOM001040,Aarthi Skin Care Clinic,,Y
DCSYNPCOM000541,AARVI HOSPITAL,,Y
DCSYNPCOM000959,Aashirwad Clinic,,Y
DCSYNPCOM000415,Aashlok Hospital,,Y
DCSYNPCOM001544,Aashu Dental and Multispeciality Clinic,,Y
DCSYNPCOM001174,Aastha Skin And Laser Clinic,,Y
DCSYNPCOM000268,Aayam Skin Clinic,,Y
DCSYNPCOM001708,Aayush Dental Clinic And Orthodontic Care Centre,,Y
DCSYNPCOM000403,Aayush Eye Clinic - A Unit of Dr Agarwals Eye Hosp,,Y
DCSYNPCOM001191,Abhishek Hospital Laser & Cosmetic Surgery Centre,,Y
DCSYNPCOM000812,Aceso Health Clinic,,Y
DCSYNPCOM000483,Adate Hospital,,Y
DCSYNPCOM000797,Aditya Birla Memorial Hospital,,Y
DCSYNPCOM000177,Advai Heart And Multispeciality Clinic,,Y
DCSYNPCOM001722,Advance Dental Clinic,,Y
DCSYNPCOM001096,Advance Dermatology & Hair Transplant Clinic,,Y
DCSYNPCOM000659,Advance Health & Aesthetic Clinic,,Y
DCSYNPCOM001916,Advanced Brain And Spine Clinic,,Y
DCSYNPCOM001305,Advanced Skin And Hair Laser Clinic,,Y
DCSYNPCOM001278,Advi's Spine & Skin Clinic,,Y
DCSYNPCOM001069,Aesthederm Skin Clinic,,Y
DCSYNPCOM001043,Aesthetic Skin & Hair Clinic,,Y
DCSYNPCOM000277,Aesthetic Skin Clinic,,Y
DCSYNPCOM000545,Afifa Medical Clinic,,Y
DCSYNPCOM2022,AIG Hospitals,,Y
DCSYNPCOM000886,AIM Hospital,,Y
DCSYNPCOM001220,Ajanta Hospital,,Y
DCSYNPCOM000294,Akshaya Dental Hospital And Implant Center,,Y
DCSYNPCOM001091,Alive Wellness Clinics,,Y
DCSYNPCOM000068,All India Institute of Medical Sciences,,Y
DCSYNPCOM001099,All India Skin And Hair Hospital,,Y
DCSYNPCOM001953,Alpha Superspeciality Hospital,,Y
DCSYNPCOM000556,Altius Gastro & Nephro Clinic,,Y
DCSYNPCOM001790,Altius Hospitals,,Y
DCSYNPCOM000132,Altor Hospital,,Y
DCSYNPCOM000652,Ambal Clinic,,Y
DCSYNPCOM001378,Amber Skin & Hair Clinics,,Y
DCSYNPCOM001567,AMD Dental Clinics,,Y
DCSYNPCOM000083,Amor Hospitals,,Y
DCSYNPCOM000310,Ankura Hospital for Women & Children,,Y
DCSYNPCOM001406,Ankura Hospital For Women and Children,,Y
DCSYNPCOM001508,Ansari Hospital,,Y
DCSYNPCOM001166,Anya Skin Clinic,,Y
DCSYNPCOM001677,AP Superspeciality Dental Hospital,,Y
DCSYNPCOM000706,Apex Hospitals,,Y
DCSYNPCOM000710,Apex Hospitals Kandivali,,Y
DCSYNPCOM001834,Apex Superspeciality Hospitals,,Y
DCSYNPCOM000110,Apollo Clinic,,Y
DCSYNPCOM001117,Apollo Dermatology Clinic,,Y
DCSYNPCOM000255,Apollo First Med Hospitals,,Y
DCSYNPCOM000468,Apollo Gleneagles Cancer Hospital,,Y
DCSYNPCOM000619,Apollo Healthcity Hospital,,Y
